,MLSAreaMajor,Stories,ViewYN,NewConstructionYN,Levels,PoolPrivateYN,BuyerOfficeAOR,GarageSpaces,LotSizeAcres,LotSizeSquareFeet,LotSizeArea,BuyerOfficeName,BuyerAgentFirstName,BuyerAgentMlsId,StreetNumberNumeric,UnparsedAddress,City,YearBuilt,FireplaceYN,BuyerAgentLastName,LivingArea,Latitude,Longitude,BuyerAgentAOR,BathroomsTotalInteger,ClosePrice,CloseDate,PropertyType,MlsStatus,ParkingTotal,PropertySubType,CountyOrParish,BedroomsTotal,StateOrProvince,PurchaseContractDate,ContractStatusChangeDate,PostalCode
34,699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,0.1363,5936.0,5936.0,KW Advisors,Unknown,ML5072382,267.0,267 Eaton Road,San Mateo,1952.0,False,The Sharp Group,1701.0,37.55975544,-122.3311851,Mlslistings,2.0,10000.0,2025-02-28,ResidentialLease,Closed,2.0,Unknown,San Mateo,3.0,CA,2025-02-28,2025-02-28,94402
35,Unknown,1.0,False,False,One,False,BayEast,2.0,0.1598,6960.0,6960.0,Bay East AOR,OUT OF AREA,BMLS-206599999,5631.0,5631 Starboard Dr,Discovery Bay,1985.0,False,NON MEMBER,2217.0,37.90981549,-121.59206861,Delta,2.0,1225000.0,2025-02-28,Residential,Closed,2.0,SingleFamilyResidence,Contra Costa,3.0,CA,2025-02-28,2025-02-28,94505
36,92011 - Carlsbad,2.0,False,False,Two,False,PacificSouthwest,3.0,0.2,8712.0,0.2,Coldwell Banker West,Susan,803745,1746.0,1746 Blackbird Circle,Carlsbad,1997.0,False,Cruz,2510.0,33.099504,-117.274197,NorthSanDiegoCounty,3.0,1900000.0,2025-02-27,Residential,Closed,3.0,SingleFamilyResidence,San Diego,4.0,CA,2025-02-13,2025-02-27,92011
37,609 - Bradbury,1.0,False,False,One,False,Burbank,3.0,0.6818,29700.0,29700.0,Keller Williams Realty World Media Center,Robert,B40417,585.0,585 Mt Olive Drive,Bradbury,2013.0,False,Kurdyan,3439.0,34.146373,-117.955365,Arcadia,4.0,2230000.0,2025-02-27,Residential,Closed,3.0,SingleFamilyResidence,Los Angeles,4.0,CA,2025-01-29,2025-02-27,91008
38,699 - Not Defined,1.0,False,False,One,False,PacificWest,2.0,0.1877,8176.0,8176.0,Seven Gables Real Estate,Greg,PWHENDGRE,4259.0,4259 E Ranch Gate Road,Anaheim,1974.0,False,Hendrickson,2240.0,33.839013,-117.825628,Newport,2.0,1650000.0,2025-02-27,Residential,Closed,2.0,SingleFamilyResidence,Orange,3.0,CA,2025-02-27,2025-02-27,92807
39,92127 - Rancho Bernardo,2.0,False,False,Two,False,SanDiego,2.0,0.1674,7264.5,7020.0,Berkshire Hathaway Home Services California Properties,Tim,SAND-675601,15518.0,15518 New Park Terrace,San Diego,2008.0,False,Van Damm,2465.0,33.01629862,-117.14712365,SanDiego,3.0,1900000.0,2025-02-27,Residential,Closed,4.0,SingleFamilyResidence,San Diego,4.0,CA,2025-02-09,2025-02-27,92127
40,629 - Glendora,2.0,False,False,Two,False,CitrusValley,1.0,0.2664,11604.0,11604.0,SOUTHLAND PROPERTIES,Daniel,C11359,318.0,318 E Foothill Boulevard,Glendora,2008.0,False,Boyer,1750.0,34.135757,-117.862168,CitrusValley,3.0,626000.0,2025-02-27,Residential,Closed,1.0,Townhouse,Los Angeles,3.0,CA,2025-02-27,2025-02-27,91741
41,Unknown,2.0,False,False,Two,False,BayEast,1.0,0.0459,2000.0,2000.0,BHHS Drysdale Properties,Wendy,CCBE-149520189,1727.0,1727 BAY STREET,Alameda,1914.0,False,Sanda,1524.0,37.7767655,-122.26468482,BayEast,2.0,1300000.0,2025-02-14,Residential,Closed,1.0,SingleFamilyResidence,Alameda,3.0,CA,2025-01-11,2025-02-14,94501
42,629 - Glendora,1.0,False,False,One,False,CitrusValley,1.0,0.2664,11604.0,11604.0,SOUTHLAND PROPERTIES,Daniel,C11359,316.0,316 E Foothill Boulevard,Glendora,1914.0,False,Boyer,924.0,34.135757,-117.862168,CitrusValley,2.0,628000.0,2025-02-27,Residential,Closed,1.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-02-27,2025-02-27,91741
43,VN - Van Nuys,1.0,False,False,One,False,Southland,2.0,0.1487,6476.0,6476.0,Epique Realty,Benjamin,F207057416,6714.0,6714 Mclennan Avenue,Van Nuys,1950.0,False,Cardona Jr,1418.0,34.192415000000004,-118.499727,Southland,2.0,755000.0,2025-02-27,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-02-27,2025-02-27,91406
44,LOMP - Lompoc,1.0,False,False,One,False,VenturaCoastal,2.0,0.14,6098.0,6098.0,Berkshire Hathaway HomeServices California Properties,Elizabeth,v211508004,1312.0,1312 E North Avenue,Lompoc,1959.0,False,Cuico,1617.0,34.652991,-120.441707,VenturaCoastal,2.0,525000.0,2025-02-27,Residential,Closed,2.0,SingleFamilyResidence,Santa Barbara,3.0,CA,2025-02-27,2025-02-27,93436
45,N7 - West Bay - Santa Ana Heights,2.0,False,False,Two,False,Mrmls,2.0,0.1678,7310.0,7310.0,NONMEMBER MRML,General,NONMEMBER,1743.0,1743 Bayport Way,Newport Beach,1959.0,False,NONMEMBER,2123.0,33.64093,-117.899954,Newport,3.0,3093000.0,2025-02-28,Residential,Closed,2.0,SingleFamilyResidence,Orange,4.0,CA,2025-02-27,2025-02-28,92660
46,NTS - North Tustin,1.0,False,False,One,False,OrangeCounty,2.0,41818.0,1821592080.0,41818.0,Pacific Sotheby's Int'l Realty,Cheyenne,OCALRECHE,12802.0,12802 Panorama Crest,North Tustin,1927.0,False,Alred,7724.0,33.776495000000004,-117.796739,PacificWest,2.0,4500000.0,2025-02-27,Residential,Closed,2.0,SingleFamilyResidence,Orange,5.0,CA,2025-02-27,2025-02-27,92705
47,STUD - Studio City,1.0,False,False,One,False,OutOfAreaBoard,2.0,0.1854,8076.0,8076.0,Compass,Craig,CLW-X67239,3710.0,3710 Willowcrest Avenue,Studio City,1949.0,False,Strong,1501.0,34.137003,-118.366283,BeverlyHillsGreaterLa,2.0,1600000.0,2025-02-27,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,2.0,CA,2025-02-26,2025-02-27,91604
48,WN - Walnut (Irvine),2.0,False,False,Two,False,OrangeCounty,2.0,0.0924,4025.0,4025.0,Re/Max Premier Realty,Ryan,skashrya,16.0,16 Utah,Irvine,1999.0,False,Kashanchi,1800.0,33.713575,-117.78913,OrangeCounty,3.0,4650.0,2025-02-27,ResidentialLease,Closed,2.0,SingleFamilyResidence,Orange,3.0,CA,2025-02-27,2025-02-27,92606
49,CLB - Calabasas,2.0,False,False,Two,False,Southland,3.0,0.7942,34595.0,34595.0,The Agency,Michale,F207018265,24125.0,24125 Park Granada,Calabasas,1988.0,False,Meyers,5182.0,34.149264,-118.651467,OutOfAreaBoard,5.0,3950000.0,2025-02-28,Residential,Closed,6.0,SingleFamilyResidence,Los Angeles,4.0,CA,2025-01-12,2025-02-28,91302
50,699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,0.0,10.01,436036.0,436036.0,Sotheby's International Realty,Laura,ML153894,21575.0,21575 Parrott Ranch Road,Carmel Valley,1988.0,False,Ciucci,2100.0,36.38779619,-121.60420415,Mlslistings,3.0,1399000.0,2025-02-21,Residential,Closed,10.0,SingleFamilyResidence,Monterey,4.0,CA,2025-02-27,2025-02-21,93924
51,PHHT - Park Hills Heights,1.0,False,False,Unknown,False,OutOfAreaBoard,2.0,0.0459,1999.0,1999.0,Vista Sotheby's International Realty,Dominic,CLW-C133047,1942.0,1942 W Jefferson Boulevard,Los Angeles,1979.0,False,Kennedy,1576.0,34.025338,-118.3133,BeverlyHillsGreaterLa,0.0,265000.0,2025-02-25,Land,Closed,0.0,Unknown,Los Angeles,3.0,CA,2025-02-25,2025-02-25,90018
52,SO - Sherman Oaks,2.0,False,False,Two,False,OutOfAreaBoard,2.0,0.2928,12754.0,12754.0,Berkshire Hathaway HomeServices California Properties,Andrew,CLW-X81874,5335.0,5335 Leghorn Avenue,Sherman Oaks,2003.0,False,Manning,5435.0,34.16761,-118.416244,OutOfAreaBoard,6.0,3995000.0,2025-02-26,Residential,Closed,0.0,SingleFamilyResidence,Los Angeles,5.0,CA,2025-02-25,2025-02-26,91401
53,263 - Banning/Beaumont/Cherry Valley,1.0,False,False,One,False,OrangeCounty,2.0,0.17,7405.0,7405.0,Pacific Avenue Realty,Prashant,ocsamppra,365.0,365 N Phillips Street,Banning,1949.0,False,Sampat,1576.0,33.928606,-116.865156,OrangeCounty,2.0,430000.0,2025-02-27,ResidentialIncome,Closed,2.0,Duplex,Riverside,3.0,CA,2025-02-27,2025-02-27,92220
54,92004 - Borrego Springs,1.0,False,False,Unknown,False,SanDiego,2.0,0.1674,7264.5,7020.0,"eXp Realty of Southern California, Inc.",Stephanie,SAND-643639,1584.0,1584 Palm Canyon Dr,Borrego Springs,1979.0,False,Jezek,1576.0,33.26206559,-116.33904177,SanDiego,0.0,20000.0,2025-02-21,Land,Closed,0.0,Unknown,San Diego,3.0,CA,2025-02-10,2025-02-21,92004
55,"T3 - Bell Gardens, Bell E of 710, Commerce S of 26",1.0,False,False,One,False,PacificWest,0.0,0.2554,11126.0,11126.0,Excellence RE Real Estate,Trino,Pflortri,6636.0,6636 Granger,Bell Gardens,1940.0,False,Flores,1576.0,33.971863,-118.146075,PacificWest,2.0,1850.0,2025-02-27,ResidentialIncome,Closed,1.0,Apartment,Los Angeles,3.0,CA,2025-02-27,2025-02-27,90201
56,Unknown,1.0,False,False,Unknown,False,BayEast,2.0,0.4388,19116.0,19116.0,Kismet Real Estate,Sohrab,CCBE-206538300,24590.0,24590 Karina St,Hayward,1979.0,False,Sangha,1576.0,37.679076,-122.043026,BayEast,0.0,775000.0,2025-02-27,Land,Closed,0.0,Unknown,Alameda,3.0,CA,2025-02-26,2025-02-27,94542
57,143 - Manhattan Bch Tree,1.0,False,False,One,False,SouthBay,2.0,0.1162,5060.0,5060.0,Estate Properties,Bill,SRUANWIL,2413.0,2413 John Street,Manhattan Beach,1961.0,False,Ruane,1890.0,33.894356,-118.402601,BeverlyHillsGreaterLa,2.0,3180000.0,2025-02-26,Residential,Closed,4.0,SingleFamilyResidence,Los Angeles,4.0,CA,2025-02-26,2025-02-26,90266
58,SRCAR - Southwest Riverside County,1.0,False,False,One,False,SanDiego,2.0,0.52,22651.0,22651.0,Real Broker,Joseph,SAND-668993,30581.0,30581 Del Rey Rd,Temecula,1976.0,False,Farrage,2062.0,33.52195586,-117.12606872,SanDiego,2.0,706200.0,2025-02-26,Residential,Closed,7.0,SingleFamilyResidence,Riverside,4.0,CA,2025-01-27,2025-02-26,92591
59,92028 - Fallbrook,1.0,False,False,One,False,NorthSanDiegoCounty,3.0,2.53,110207.0,110207.0,Keller Williams Realty,Brooke,110353,4330.0,4330 Vista Del Pacifico,Fallbrook,2002.0,False,Murdock,3556.0,33.358125,-117.175858,TheInlandGateway,4.0,1555000.0,2025-02-27,Residential,Closed,3.0,SingleFamilyResidence,San Diego,4.0,CA,2025-01-15,2025-02-27,92028
60,646 - Pasadena (NE),2.0,False,False,Two,False,Southland,2.0,0.4548,19809.0,19809.0,The Agency,Stephen,SR175502830,1745.0,1745 E Mountain Street,Pasadena,1920.0,False,White,3350.0,34.162236,-118.114491,Southland,2.0,1825000.0,2025-02-26,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,5.0,CA,2025-02-26,2025-02-26,91104
61,699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,0.1731,7540.0,7540.0,Compass,Ella,ML5081766,574.0,574 Flannery Street,Santa Clara,1963.0,False,Sun,1571.0,37.3326117,-121.98283358,Mlslistings,2.0,2695000.0,2025-02-26,Residential,Closed,2.0,SingleFamilyResidence,Santa Clara,3.0,CA,2025-02-26,2025-02-26,95051
62,ENC - Encino,1.0,False,False,One,False,OutOfAreaBoard,2.0,0.568,24743.0,24743.0,Berkshire Hathaway HomeServices California Properties,Howard,CLW-X68059,5030.0,5030 Gloria Avenue,Encino,1951.0,False,Zuckerman,2784.0,34.160672,-118.47866299999998,BeverlyHillsGreaterLa,3.0,2500000.0,2025-02-26,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,5.0,CA,2025-02-24,2025-02-26,91436
63,WV - Westlake Village,2.0,False,False,Two,False,Conejo,2.0,0.0863,3758.0,3758.0,"Engel & Voelkers, Westlake Village",Nicole Van,VCR-C159053136,2306.0,2306 Heatherbank Court,Thousand Oaks,2000.0,False,Parys & Gary Nese...,3758.0,34.136602,-118.886665,Conejo,4.0,3430000.0,2025-02-26,Residential,Closed,2.0,SingleFamilyResidence,Ventura,4.0,CA,2025-02-26,2025-02-26,91361
64,85 - Yorba Linda,1.0,False,False,One,False,PacificWest,2.0,0.1578,6875.0,6875.0,First Team Real Estate,Kristen,NFOWLKRI,19722.0,19722 Bluefield,Yorba Linda,1970.0,False,Fowler,2496.0,33.879755,-117.789933,PacificWest,3.0,1225000.0,2025-02-24,Residential,Closed,2.0,SingleFamilyResidence,Orange,4.0,CA,2025-01-16,2025-02-24,92886
